user_id,username,email,role,joined_at,karma_posts,karma_comments,num_posts,num_comments,communities_followed
U00041,jenniferross520,jenniferross520@hotmail.com,user,2024-11-13,2672,3296,178,151,"C033,C050,C108,C171,C098,C174,C192,C045,C158"
U00042,samuel87583,samuel87583@gmail.com,user,2025-03-01,3,2489,73,107,"C149,C156,C168,C083,C120,C114,C173"
U00043,jeffreymorgan219,jeffreymorgan219@hotmail.com,user,2025-09-08,1390,694,72,263,"C086,C024,C193,C061,C173,C080,C058,C051,C038,C007"
U00044,briannasmith48,briannasmith48@hotmail.com,user,2025-01-04,596,3730,106,453,"C050,C184,C179,C099,C127,C103,C063,C038,C168,C177"
U00045,perezrebecca6,perezrebecca6@yahoo.com,user,2025-10-30,873,3482,56,90,"C119,C013,C143,C064,C032,C117,C035,C171,C136"
U00046,palmerjoshua573,palmerjoshua573@yahoo.com,user,2025-08-09,3625,4135,109,425,"C115,C041,C191,C122,C116,C067,C193,C064,C164"
U00047,ambercummings284,ambercummings284@hotmail.com,user,2025-02-08,3969,1959,70,225,"C183,C074"
U00048,esanchez241,esanchez241@yahoo.com,user,2024-09-05,4424,660,35,77,"C099,C178,C040,C181"
U00049,clintonhopkins220,clintonhopkins220@yahoo.com,user,2024-11-12,2710,4445,119,212,C053
U00050,ujenkins853,ujenkins853@gmail.com,user,2025-08-20,4784,160,195,294,"C123,C002,C091,C077,C193,C100,C108"
U00051,brownjessica552,brownjessica552@gmail.com,user,2025-02-28,4941,1806,124,112,"C112,C125,C008,C100,C087"
U00052,jamesherrera685,jamesherrera685@gmail.com,user,2024-11-10,1352,3828,32,318,"C007,C101,C152,C145,C170,C022,C165,C110,C035"
U00053,dwhite888,dwhite888@gmail.com,user,2024-02-09,2131,3105,83,108,"C084,C087,C195,C098,C072,C193,C108,C065"
U00054,ramosmichelle855,ramosmichelle855@hotmail.com,user,2024-01-16,4418,426,89,114,"C200,C167"
U00055,williamsyvette42,williamsyvette42@gmail.com,user,2024-07-11,1633,166,159,78,"C033,C122,C172,C030"
U00056,housemelinda578,housemelinda578@gmail.com,mod,2024-12-27,2099,3021,42,310,"C192,C184,C030,C200,C042,C080,C028,C149,C007,C148"
U00057,ntucker694,ntucker694@yahoo.com,user,2024-10-18,3249,1624,19,303,"C027,C179,C198,C078"
U00058,martinaaron871,martinaaron871@yahoo.com,user,2025-09-17,991,4636,200,21,"C137,C110,C170,C095,C018,C130"
U00059,sara74664,sara74664@yahoo.com,user,2025-10-21,3441,4015,27,221,"C163,C118,C182,C040,C112,C046"
U00060,smoore752,smoore752@gmail.com,user,2025-05-20,2212,4408,198,247,"C112,C188,C152,C069,C083,C063,C023,C072"
U00061,rileyamy903,rileyamy903@hotmail.com,user,2025-08-05,3806,4668,156,342,"C087,C008,C127,C084,C047,C125,C055"
U00062,brian97364,brian97364@hotmail.com,user,2024-09-21,2290,4883,179,450,"C143,C003,C133,C049,C022"
U00063,brianromero248,brianromero248@gmail.com,user,2025-01-14,4548,1968,176,243,"C115,C005,C024,C076,C057,C104,C178,C063"
U00064,larsonemma314,larsonemma314@gmail.com,user,2024-10-13,3876,4534,135,176,"C191,C141,C085,C091,C180,C117,C070"
U00065,kwilson314,kwilson314@gmail.com,user,2024-04-03,1577,2584,30,380,"C196,C177,C048,C050,C056,C190,C124,C071,C186"
U00066,harveyrobert604,harveyrobert604@hotmail.com,mod,2025-02-11,4888,2318,25,426,"C076,C059,C093,C046"
U00067,sarah35310,sarah35310@gmail.com,user,2025-02-18,1036,2247,11,498,C142
U00068,randy47300,randy47300@yahoo.com,user,2024-04-08,4021,840,3,293,"C121,C123,C113,C088,C048"
U00069,smithchristine989,smithchristine989@hotmail.com,user,2025-10-31,3913,934,16,205,"C019,C148,C162,C176,C014,C039,C145,C078"
U00070,jonesjason88,jonesjason88@yahoo.com,admin,2024-04-02,4571,3409,155,305,"C058,C199,C134,C098,C116,C114,C077,C151,C110,C079"
U00071,sarahibarra583,sarahibarra583@gmail.com,user,2025-04-18,812,1702,160,108,"C170,C021,C041,C062,C045"
U00072,justin78566,justin78566@hotmail.com,user,2024-01-03,3346,3690,176,304,"C075,C009,C060,C074,C181,C073,C180,C117"
U00073,cheryl8073,cheryl8073@hotmail.com,user,2024-07-24,4831,1620,108,58,"C058,C166,C039,C069,C037,C019,C016,C043,C079"
U00074,sarah12610,sarah12610@yahoo.com,user,2025-03-18,2364,3597,31,239,"C180,C104,C070,C129,C139"
U00075,prestonjulia506,prestonjulia506@gmail.com,user,2025-04-09,326,3539,188,165,"C065,C007,C024,C059,C173,C148,C151,C006,C196,C069"
U00076,juan35591,juan35591@gmail.com,user,2025-08-10,1435,3854,132,333,"C072,C047,C150,C112,C163,C126,C024,C121"
U00077,william40357,william40357@gmail.com,user,2024-09-06,856,1317,84,210,"C074,C170,C103,C195,C141,C010,C117,C023"
U00078,ccalderon323,ccalderon323@gmail.com,user,2024-03-31,3311,4215,0,336,"C119,C106,C014,C049,C133,C093,C160,C194,C128"
U00079,kellie42641,kellie42641@hotmail.com,user,2024-02-10,1667,2187,140,67,"C113,C179,C125,C032,C008"
U00080,barnold997,barnold997@hotmail.com,user,2025-09-12,1960,1297,79,282,C142
U00081,rodriguezsierra418,rodriguezsierra418@hotmail.com,user,2025-10-15,929,3780,30,331,"C128,C184,C075"
U00082,amydavenport522,amydavenport522@hotmail.com,user,2024-11-18,3952,3868,62,233,"C038,C099,C049,C154,C131,C192,C035,C018,C071"
U00083,russellwilliams792,russellwilliams792@yahoo.com,user,2024-11-18,2784,4159,68,420,C073
U00084,nolanjason744,nolanjason744@gmail.com,user,2025-03-31,4750,4011,38,228,"C124,C089,C086,C142,C196,C140,C097,C117,C083"
U00085,gomezanita891,gomezanita891@yahoo.com,user,2025-06-25,1956,4684,98,119,"C012,C082,C191,C122,C181,C098,C099"
U00086,sarayoung680,sarayoung680@gmail.com,user,2025-05-21,1246,4057,9,64,"C152,C085,C026,C113,C135,C117,C004,C185,C037"
U00087,nicolejohnson420,nicolejohnson420@hotmail.com,user,2024-04-29,612,3846,200,496,"C087,C160,C178,C102,C167"
U00088,kimberly6383,kimberly6383@yahoo.com,user,2025-10-24,4371,3113,81,320,"C139,C010,C159,C018,C061,C162,C176,C074"
U00089,kristinrodriguez233,kristinrodriguez233@gmail.com,user,2024-12-03,806,823,113,85,"C008,C012,C084,C015,C076"
U00090,dwalker368,dwalker368@yahoo.com,user,2024-04-23,2000,4351,105,289,"C044,C045,C021"
U00091,lori33625,lori33625@gmail.com,user,2025-04-26,1972,4076,149,73,"C119,C164,C066,C118"
U00092,raymondramirez262,raymondramirez262@gmail.com,user,2025-09-16,3811,2356,173,279,"C019,C114,C089"
U00093,michael86602,michael86602@hotmail.com,user,2024-11-25,2048,3742,77,101,"C124,C028,C061,C098,C147,C092,C148"
U00094,sheila14303,sheila14303@gmail.com,admin,2024-08-17,179,3242,70,4,"C176,C200,C191,C013,C156,C128,C074,C199,C059,C091"
U00095,benjamin96225,benjamin96225@yahoo.com,user,2025-04-27,2053,1120,160,49,C080
U00096,samuel81808,samuel81808@yahoo.com,user,2025-03-26,2988,1076,23,465,"C084,C192,C107,C045,C052"
U00097,jonathanfletcher136,jonathanfletcher136@gmail.com,user,2024-10-11,4348,4110,69,425,"C066,C124,C076"
U00098,michaeljones765,michaeljones765@hotmail.com,user,2025-09-16,943,3836,19,72,"C174,C186,C173,C102"
U00099,cindy14991,cindy14991@hotmail.com,user,2025-03-08,2996,739,101,7,"C138,C032,C117,C095,C173"
U00100,elizabeth56767,elizabeth56767@hotmail.com,user,2025-03-30,3121,3043,27,345,"C121,C007,C159,C144"
U00101,angela36336,angela36336@hotmail.com,user,2024-06-20,517,3803,179,154,"C030,C036,C012,C010,C078,C127,C025"
U00102,lbyrd241,lbyrd241@hotmail.com,user,2024-04-15,3183,3716,94,343,"C108,C151,C191,C187,C040,C107,C168,C026,C126"
U00103,richard04631,richard04631@yahoo.com,user,2024-08-05,268,3035,55,227,"C061,C093,C026,C176,C095,C140,C166,C092"
U00104,russellcarpenter63,russellcarpenter63@hotmail.com,user,2024-05-27,1000,3725,23,339,"C165,C164,C153,C006"
U00105,steven7352,steven7352@hotmail.com,user,2024-07-08,1031,4625,52,35,"C054,C151,C056,C060,C085,C199,C038,C153,C001"
U00106,yleon284,yleon284@hotmail.com,user,2024-04-22,1064,4425,64,408,"C029,C170,C007"
U00107,donnacampbell135,donnacampbell135@hotmail.com,user,2025-09-05,1949,4823,82,8,"C068,C014,C033"
U00108,clarence34760,clarence34760@gmail.com,user,2024-03-29,520,3901,114,398,"C132,C152,C028,C116,C129,C057"
U00109,dylanwilliams969,dylanwilliams969@yahoo.com,user,2025-07-18,4271,2470,117,329,C016
U00110,gibsonolivia491,gibsonolivia491@hotmail.com,user,2024-11-27,884,4016,182,465,"C019,C021,C083,C156,C038,C017,C033,C071"
U00111,jennifercruz640,jennifercruz640@yahoo.com,user,2025-03-01,2663,3120,152,271,"C117,C130,C155,C111,C026"
U00112,dylanwatts813,dylanwatts813@gmail.com,user,2025-10-24,4516,1761,110,231,"C106,C087,C117,C103"
U00113,zrobinson426,zrobinson426@hotmail.com,user,2024-08-30,3496,2560,170,130,"C040,C176,C122,C018,C024,C022"
U00114,pwilliams96,pwilliams96@gmail.com,user,2025-08-01,3052,1065,142,30,"C144,C085,C172,C032,C106,C091,C171,C193,C109,C185"
U00115,danderson53,danderson53@hotmail.com,mod,2025-04-11,2559,2880,26,295,"C055,C040,C169,C124,C058,C028,C090,C143,C095"
U00116,stephanie79118,stephanie79118@hotmail.com,user,2025-03-21,1852,3515,143,498,"C158,C173,C165,C143,C007,C156,C169,C178,C069,C008"
U00117,jrivas185,jrivas185@yahoo.com,user,2025-08-15,2531,2783,89,3,"C037,C145,C169"
U00118,juliawells411,juliawells411@yahoo.com,user,2025-07-29,251,751,191,271,"C097,C108,C117,C088"
U00119,maryramirez162,maryramirez162@hotmail.com,user,2025-07-14,2657,4649,152,43,C040
U00120,rsims162,rsims162@yahoo.com,user,2024-02-08,668,2229,113,338,"C125,C156,C114,C107,C070,C056,C194"
U00121,reevesjimmy525,reevesjimmy525@yahoo.com,user,2024-11-29,908,2320,173,347,"C125,C135,C171,C079,C012,C057,C102,C154,C015,C002"
U00122,patricia12210,patricia12210@gmail.com,user,2024-06-13,1124,2093,74,167,"C002,C128"
U00123,patrickhernandez765,patrickhernandez765@gmail.com,user,2024-04-10,3114,4362,180,117,"C144,C172,C091,C019,C102,C190,C011,C112,C005"
U00124,perrymark471,perrymark471@yahoo.com,mod,2025-10-31,2564,4716,109,293,"C182,C164,C107,C075,C030,C104,C006"
U00125,abrown990,abrown990@yahoo.com,user,2025-09-14,3769,2964,22,223,"C063,C112"
U00126,gateskathy604,gateskathy604@yahoo.com,user,2024-03-02,3242,2541,190,173,"C086,C200,C044,C020"
U00127,wsmith523,wsmith523@yahoo.com,user,2025-02-16,4177,1588,198,178,"C187,C166,C038,C061,C027,C066"
U00128,acastaneda203,acastaneda203@hotmail.com,user,2024-04-28,617,1451,197,321,"C119,C194,C145,C195,C149,C115,C175,C165"
U00129,tracynelson651,tracynelson651@yahoo.com,admin,2024-09-08,2589,1236,112,34,"C114,C162,C078,C071,C152,C015,C091,C130"
U00130,priceelizabeth76,priceelizabeth76@yahoo.com,user,2024-12-17,308,466,94,425,"C020,C166,C024,C158,C153"
U00131,marycalhoun520,marycalhoun520@hotmail.com,user,2025-03-26,4540,336,115,465,"C167,C049,C083,C155,C122,C129,C039,C016,C116,C027"
U00132,meadowsbrittany831,meadowsbrittany831@hotmail.com,user,2024-09-23,690,4133,165,88,C064
U00133,millerroy725,millerroy725@yahoo.com,user,2024-12-07,4293,4282,156,81,"C096,C073,C100,C105,C199,C087"
U00134,brentgray696,brentgray696@gmail.com,user,2025-09-05,2741,539,84,48,"C174,C099,C073,C065,C186,C169,C155,C039,C086"
U00135,wmurphy84,wmurphy84@yahoo.com,user,2024-04-19,2865,2541,167,357,"C034,C153,C182,C022,C080,C144,C097"
U00136,karen64659,karen64659@gmail.com,user,2025-09-23,1046,4312,23,330,"C131,C093,C005,C080,C047,C055,C088"
U00137,ismith971,ismith971@gmail.com,user,2024-05-29,1855,1126,39,39,"C026,C130,C198,C139,C190"
U00138,jeffrey10905,jeffrey10905@gmail.com,user,2025-05-29,2758,1073,152,192,"C042,C047,C178"
U00139,jamessmith790,jamessmith790@gmail.com,user,2024-05-08,3585,357,105,186,"C114,C157,C073,C193"
U00140,davidcaldwell767,davidcaldwell767@hotmail.com,user,2024-06-30,4374,1959,79,494,"C050,C095,C174,C147,C113,C119,C197,C073"
U00141,stevenscott797,stevenscott797@yahoo.com,user,2025-02-13,3429,1327,51,410,"C036,C065,C014,C165,C124,C096,C142,C027,C183,C133"
U00142,catherinestuart872,catherinestuart872@hotmail.com,user,2024-03-06,1313,2234,115,463,"C038,C112,C024,C057,C116,C090,C007,C107,C014"
U00143,stricklandfrank406,stricklandfrank406@yahoo.com,user,2024-07-02,3163,668,95,114,C082
U00144,lanesarah954,lanesarah954@hotmail.com,user,2025-07-09,2746,1196,35,19,"C121,C179,C036,C195,C181"
U00145,tsanders481,tsanders481@gmail.com,user,2024-01-05,649,155,65,110,"C141,C187,C156"
U00146,vargasmaria541,vargasmaria541@gmail.com,user,2025-08-25,2360,1946,77,62,C062
U00147,terrykevin430,terrykevin430@hotmail.com,user,2025-04-28,3744,514,28,428,"C153,C138,C005,C162,C132,C148,C062,C184"
U00148,hoganashlee148,hoganashlee148@gmail.com,user,2024-01-02,2890,1970,146,213,"C171,C172,C022"
U00149,amanda51537,amanda51537@hotmail.com,mod,2024-02-22,4309,4457,129,402,"C142,C006,C100,C121,C012,C163,C096,C065,C192"
U00150,alexander6717,alexander6717@gmail.com,user,2024-02-22,2824,1975,187,336,"C198,C149"
U00151,oyu753,oyu753@yahoo.com,user,2024-04-13,363,2886,139,173,"C200,C176,C119"
U00152,ryangross713,ryangross713@hotmail.com,user,2024-05-21,1104,516,183,397,"C010,C076,C052,C012,C011,C081,C080,C132"
U00153,christina87408,christina87408@yahoo.com,admin,2025-02-25,3878,2075,9,385,"C074,C092,C200,C013"
U00154,lpetersen887,lpetersen887@yahoo.com,user,2024-07-31,1019,3014,111,455,"C191,C113,C099,C087,C048,C128,C178"
U00155,melissa14510,melissa14510@yahoo.com,user,2025-09-11,4253,2184,21,372,"C021,C111,C155,C047,C140,C076,C083"
U00156,karenhudson106,karenhudson106@hotmail.com,user,2025-05-28,2421,2510,114,308,"C043,C177,C114,C090,C115,C011,C187"
U00157,frogers891,frogers891@yahoo.com,user,2025-04-22,3563,2249,163,405,C020
U00158,tonykelly688,tonykelly688@yahoo.com,user,2024-10-09,4203,1310,7,73,"C174,C113,C009,C033,C018,C061,C200,C166,C094,C093"
U00159,joshua94393,joshua94393@hotmail.com,mod,2024-01-26,4956,1256,173,230,"C096,C114,C196,C020,C147,C036"
U00160,blackjames543,blackjames543@gmail.com,user,2024-09-01,2283,2044,29,13,"C128,C133,C100"
U00161,wfreeman936,wfreeman936@gmail.com,user,2024-07-22,2132,3655,54,313,"C178,C126,C052,C032,C035"
U00162,fbrewer874,fbrewer874@yahoo.com,user,2024-05-14,3646,719,174,495,"C171,C089,C182,C017,C141,C139"
U00163,davisjeffrey298,davisjeffrey298@hotmail.com,user,2025-10-23,1290,1426,92,260,"C032,C052,C036,C061"
U00164,kevinperkins810,kevinperkins810@yahoo.com,user,2024-10-07,4538,4688,94,239,"C034,C157,C023,C017,C080,C102,C184,C185,C123"
U00165,ronald85539,ronald85539@yahoo.com,user,2024-11-14,4709,604,32,497,"C165,C019,C116,C120,C175,C133"
U00166,qnelson353,qnelson353@gmail.com,user,2025-10-05,4516,4815,46,393,"C111,C129,C015"
U00167,griffithleslie852,griffithleslie852@hotmail.com,user,2024-04-28,2491,1348,41,165,"C089,C133,C073,C021"
U00168,jamesrodgers257,jamesrodgers257@yahoo.com,user,2025-03-03,2248,1025,160,155,"C137,C024,C129,C165,C044,C152,C149,C040,C169,C160"
U00169,tina34738,tina34738@gmail.com,user,2024-09-19,4617,337,7,41,C165
U00170,harry08790,harry08790@gmail.com,user,2025-05-20,1726,4686,106,316,C128
U00171,brandon08911,brandon08911@yahoo.com,user,2024-08-12,2474,3956,62,412,"C077,C117,C019,C177,C016,C041,C113"
U00172,danamullins426,danamullins426@gmail.com,user,2024-06-07,2786,4969,36,160,"C188,C089,C103,C034,C195,C095"
U00173,andrewstaylor528,andrewstaylor528@yahoo.com,user,2024-09-04,1980,3821,31,136,"C064,C037,C025,C013,C075,C099,C158,C108"
U00174,jack04255,jack04255@yahoo.com,mod,2024-05-04,2682,4732,184,160,"C196,C041,C128,C132"
U00175,shortrichard479,shortrichard479@gmail.com,user,2024-08-27,4074,189,23,483,"C130,C118,C062,C056,C150,C091,C013"
U00176,hernandezlisa52,hernandezlisa52@yahoo.com,user,2025-04-09,3855,2340,137,4,"C111,C035"
U00177,mcknightdavid904,mcknightdavid904@yahoo.com,user,2024-10-11,3303,2997,11,205,C146
U00178,kimberlyjames576,kimberlyjames576@yahoo.com,user,2025-03-05,2364,602,98,258,"C196,C141,C072,C160,C175,C157,C031,C033"
U00179,michelle64999,michelle64999@hotmail.com,user,2024-10-16,2777,4569,93,386,"C051,C155,C131"
U00180,lynchjody412,lynchjody412@gmail.com,user,2024-02-05,318,1122,182,170,"C133,C117,C039,C156,C132,C036,C084,C157"
U00181,josephmiller327,josephmiller327@gmail.com,user,2025-04-23,2451,4863,86,259,"C137,C126,C182,C145,C077,C122,C005,C095,C085"
U00182,andreamoore690,andreamoore690@yahoo.com,user,2024-11-19,4781,2520,185,446,C153
U00183,enorris486,enorris486@yahoo.com,user,2025-05-24,4738,4731,58,369,C150
U00184,halljasmine492,halljasmine492@hotmail.com,user,2025-05-03,3114,1210,174,124,C147
U00185,ojones971,ojones971@yahoo.com,user,2024-05-28,155,3612,80,214,"C106,C177,C053"
U00186,ronaldstephens421,ronaldstephens421@hotmail.com,user,2025-04-19,3863,510,180,70,"C054,C144,C084,C170,C123,C135,C097,C081,C045"
U00187,rebekahserrano471,rebekahserrano471@gmail.com,user,2024-09-22,4475,2902,173,395,"C157,C124,C050,C064,C072"
U00188,martinkyle572,martinkyle572@hotmail.com,user,2024-08-19,2367,1698,176,360,"C082,C123,C090,C144,C185,C071,C074,C032"
U00189,scott74588,scott74588@hotmail.com,user,2024-10-21,3232,2827,197,411,"C075,C011,C074"
U00190,gbender979,gbender979@hotmail.com,user,2024-09-26,3623,2100,191,245,"C052,C138,C070,C144"
U00191,mkim713,mkim713@gmail.com,user,2024-03-25,4807,1960,62,25,"C058,C164,C060,C014,C026,C106,C085,C184,C121"
U00192,mnavarro103,mnavarro103@yahoo.com,user,2024-04-16,42,4508,40,208,"C123,C167,C052,C194,C074,C083,C166,C016"
U00193,davissuzanne930,davissuzanne930@hotmail.com,user,2025-05-21,4703,1902,136,378,C045
U00194,keyemily428,keyemily428@yahoo.com,user,2024-05-16,297,3252,126,95,"C010,C003,C077,C146,C155"
U00195,hinesgregory110,hinesgregory110@hotmail.com,mod,2024-09-17,2331,3722,164,278,"C127,C035,C130,C120,C070,C050,C029,C085,C042"
U00196,lmoon749,lmoon749@hotmail.com,user,2024-07-18,1525,115,188,172,"C146,C173,C194,C050,C045"
U00197,fwalters626,fwalters626@gmail.com,user,2024-11-10,3503,4221,83,44,"C172,C025,C048,C036,C123,C083,C064"
U00198,vbailey7,vbailey7@yahoo.com,user,2024-07-01,3659,2187,84,154,"C186,C147,C003,C067,C168,C093,C178,C061,C016,C171"
U00199,hodgemark122,hodgemark122@hotmail.com,user,2024-05-04,3321,4116,180,394,"C177,C031,C164,C076,C095"
U00200,zroberts630,zroberts630@hotmail.com,user,2024-04-13,3917,1254,116,382,"C096,C107,C180,C141,C121,C194,C138,C171,C056,C196"
U00201,gibsonleonard254,gibsonleonard254@yahoo.com,user,2025-04-07,670,4304,114,270,"C020,C145,C029,C016,C141,C130"
U00202,cordovarichard208,cordovarichard208@hotmail.com,user,2024-04-26,1347,2687,133,226,"C175,C053"
U00203,sandovalamy735,sandovalamy735@yahoo.com,user,2024-03-11,4180,3649,14,232,"C132,C107,C117"
U00204,lopezmichael578,lopezmichael578@yahoo.com,user,2024-12-25,2524,178,101,130,C191
U00205,nwolf224,nwolf224@yahoo.com,user,2024-02-05,3470,2822,179,32,"C016,C018,C121,C009,C074,C105,C047,C197,C035"
U00206,sarakim785,sarakim785@hotmail.com,user,2025-07-20,3443,3067,97,229,"C097,C021,C175,C170,C139,C035,C168"
U00207,omartinez881,omartinez881@hotmail.com,user,2024-05-18,4401,3219,135,65,"C001,C194,C006,C077"
U00208,jennifercollins475,jennifercollins475@gmail.com,user,2025-02-26,3474,4357,97,421,"C064,C118,C089,C040"
U00209,hdavis283,hdavis283@yahoo.com,user,2025-07-17,924,263,169,214,"C197,C005,C062,C053,C018,C026,C153,C009,C115,C154"
U00210,hollanderic689,hollanderic689@hotmail.com,user,2024-02-07,2004,362,102,224,"C139,C056,C194,C199"
U00211,william4658,william4658@yahoo.com,user,2024-08-12,1918,4719,81,295,"C198,C173,C083,C061,C078,C037,C170,C134,C057,C106"
U00212,jsanchez308,jsanchez308@gmail.com,user,2025-03-08,4846,1434,160,347,"C143,C127,C013,C089,C165,C172,C098"
U00213,mlee805,mlee805@hotmail.com,user,2025-06-24,3410,3344,38,153,"C048,C194,C138,C122,C062,C058,C077"
U00214,michellehill879,michellehill879@yahoo.com,user,2025-09-17,3793,472,143,211,"C143,C136,C035,C100,C063,C066,C053"
U00215,sarah84339,sarah84339@gmail.com,user,2024-12-15,3039,757,137,370,"C014,C069,C097,C173"
U00216,jessica99620,jessica99620@hotmail.com,user,2024-02-26,1541,4813,185,343,"C056,C123,C054,C086,C078,C004,C055,C049,C190"
U00217,cgrimes121,cgrimes121@hotmail.com,user,2025-08-08,3923,1987,178,309,"C102,C062,C142,C083"
U00218,jreed795,jreed795@hotmail.com,user,2024-12-28,4371,2943,78,133,"C132,C128,C120,C026,C185,C121"
U00219,ugibson780,ugibson780@gmail.com,user,2024-06-06,3036,2563,105,23,"C057,C190,C038,C005,C067,C142,C150,C149,C185,C107"
U00220,ashleyhall303,ashleyhall303@yahoo.com,user,2024-09-13,1884,3111,145,426,"C128,C141,C168,C176"
U00221,floresthomas346,floresthomas346@yahoo.com,user,2025-09-30,4002,4018,117,86,"C044,C036,C185,C140,C126,C048"
U00222,ymcneil939,ymcneil939@hotmail.com,user,2025-05-13,481,4292,8,429,"C172,C013"
U00223,tylerjohnson783,tylerjohnson783@hotmail.com,user,2024-04-16,1895,556,181,77,C056
